tag,score,min_flat_mo,hits,all_hit,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,param_breakeven_after_bars,param_breakeven_buffer_pct,crash_2021_05_flat,crash_2021_22_flat,crash_2024_26_flat
seed0,-219.03039722193884,-3.4132503097764024,1,False,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.01,0.001,10000.0,0,0.0,wap,0,0,0.001,8.533002449543455,-3.4132503097764024,-0.8016115768353039
seed1,-129.10601087610013,-2.761856015645066,1,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,6.967327737251239,-2.761856015645066,2.428790442387687
seed2,-445.91770808888805,-4.560378776304821,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.0,wap,0,0,0.001,-4.01380674503683,-4.560378776304821,1.4032320940039678
seed3,-784.0841687921336,-12.34172406626717,0,False,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.05,p0,4320,0,0.001,-12.34172406626717,-5.813266627415162,-3.705231532991884
seed4,-285.70734437070183,-3.0041620334808328,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.35,wap,0,0,0.001,1.8271928385725777,-3.0041620334808328,1.1646757504715366
seed5,-370.2682850106761,-4.5539617891914075,0,False,0.1,"[8, 4, 2, 1]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.4,wap,0,0,0.001,3.8351563728655997,-4.5539617891914075,-3.01355971868154
rand0,-643.1445452049703,-9.676719327537123,0,False,0.08,"[8, 4, 2, 1]","[2, 3, 4]","[0.03, 0.1, 0.25, 0.5]",0.015,0.001,10000.0,0,0.2,wap,64800,0,0.001,-9.676719327537123,-3.368246460987956,-2.693442302499968
rand1,-513.0913926025303,-4.058059404599446,0,False,0.05,"[8, 4, 2, 1]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.015,0.001,10000.0,0,0.25,wap,64800,2880,0.001,-3.1436940464891685,-4.058059404599446,-2.7768149965399136
rand2,-575.6274254648351,-5.486694458097407,0,False,0.08,"[8, 4, 2, 1]","[1, 2, 3]","[0.05, 0.12, 0.22, 0.4]",0.04,0.001,10000.0,0,0.6,p0,0,2880,0.001,-5.486694458097407,-3.9955675707369482,-3.4185580228046737
rand3,-579.2031708756804,-5.318047111306952,0,False,0.08,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.3,wap,0,7200,0.001,-5.318047111306952,-4.820273890718105,-2.886448926057492
rand4,-467.2988092746058,-4.183187584372608,0,False,0.05,"[1, 2, 4, 8]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.04,0.001,10000.0,0,0.5,wap,43200,0,0.001,-4.183187584372608,-2.716193975693006,-1.013467706027037
rand5,-568.7500606880102,-7.120632295815625,0,False,0.15,"[8, 4, 2, 1]","[2, 3, 4]","[0.05, 0.12, 0.22, 0.4]",0.015,0.001,10000.0,0,0.15,wap,10080,4320,0.001,-7.120632295815625,-2.559057090313291,-2.550598623158866
rand6,-672.844033668476,-10.317581102075616,0,False,0.12,"[8, 4, 2, 1]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.4,p0,10080,4320,0.001,-10.317581102075616,-3.9884265238838337,-2.656426222998872
rand7,-565.9867663202245,-8.06257045772376,0,False,0.2,"[1, 2, 4, 8]","[2, 3, 4]","[0.05, 0.12, 0.22, 0.4]",0.01,0.001,10000.0,0,0.6,wap,64800,2880,0.001,-8.06257045772376,-2.7538754514537858,-1.5073873722146085
rand8,-537.114711155557,-4.165654076614718,0,False,0.2,"[1, 2, 4, 8]","[2, 3, 4]","[0.02, 0.06, 0.15, 0.3]",0.05,0.001,10000.0,0,0.25,p0,0,2880,0.001,-4.165654076614718,-4.100705483108924,-2.5409366801819733
rand9,-772.510342204542,-13.029756778042332,0,False,0.1,"[8, 4, 2, 1]","[1, 2, 3]","[0.02, 0.08, 0.2, 0.4]",0.01,0.001,10000.0,0,0.25,p0,10080,7200,0.001,-13.029756778042332,-4.858321593308596,-3.569784394074096
rand10,-382.48215794560605,-2.2295281092074646,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 3]","[0.05, 0.12, 0.22, 0.4]",0.02,0.001,10000.0,0,0.2,wap,64800,10080,0.001,-2.2295281092074646,-1.0424250772086125,-0.510666147171373
rand11,-304.4886793433407,-1.3118684981100748,0,False,0.15,"[1, 2, 4, 8]","[1, 2, 3]","[0.04, 0.12, 0.25, 0.45]",0.03,0.001,10000.0,0,0.3,wap,10080,10080,0.001,1.2024838747442719,-1.3118684981100748,-0.3177264244330752
rand12,-329.5710317447142,-3.1212117393060814,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,0.35,wap,43200,7200,0.001,2.2482603174250806,-3.1212117393060814,-0.3639262650630698
rand13,-768.0143311648553,-11.43586379298313,0,False,0.15,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.06, 0.15, 0.3]",0.008,0.001,10000.0,0,0.15,p0,20160,0,0.001,-11.43586379298313,-6.1160136211462675,-3.621127888977507
rand14,-523.8217683133007,-8.488421880273718,0,False,0.05,"[1, 2, 4, 8]","[1, 2, 3]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.5,wap,64800,0,0.001,-8.488421880273718,-0.9496052601142477,-0.9027924234815909
rand15,-688.6668293004144,-10.929160938793666,0,False,0.08,"[8, 4, 2, 1]","[1, 3, 5]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.2,wap,64800,4320,0.001,-10.929160938793666,-4.396865538344417,-2.4961242014571567
rand16,-509.8566284317761,-5.425333165829161,0,False,0.1,"[1, 2, 4, 8]","[2, 3, 4]","[0.03, 0.1, 0.25, 0.5]",0.015,0.001,10000.0,0,0.0,wap,64800,0,0.001,-5.425333165829161,-2.970375167299416,-1.166554688887833
rand17,-493.79081074322386,-3.913733720775903,0,False,0.15,"[1, 2, 4, 8]","[1, 2, 4]","[0.02, 0.06, 0.15, 0.3]",0.012,0.001,10000.0,0,0.2,p0,64800,2880,0.001,-3.913733720775903,-2.774140136973218,-2.0653145401571367
rand18,-450.3062109664827,-3.2574857090332436,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 3]","[0.04, 0.12, 0.25, 0.45]",0.05,0.001,10000.0,0,0.25,p0,43200,4320,0.001,-3.2574857090332436,-2.4835773805392045,-1.1149060443491676
rand19,-457.71252198434246,-5.328036939714934,0,False,0.05,"[1, 2, 4, 8]","[1, 2, 3]","[0.04, 0.12, 0.25, 0.45]",0.015,0.001,10000.0,0,0.25,wap,20160,0,0.001,-5.328036939714934,-2.034165086986024,0.20123694179646323
rand20,-596.4798268967771,-6.717455872786837,0,False,0.05,"[8, 4, 2, 1]","[1, 3, 5]","[0.03, 0.08, 0.18, 0.35]",0.01,0.001,10000.0,0,0.0,wap,0,0,0.001,-6.717455872786837,-4.851580928605648,-2.3009133108307545
rand21,-433.6218256545103,-4.931125620884459,0,False,0.1,"[8, 4, 2, 1]","[1, 3, 5]","[0.03, 0.1, 0.25, 0.5]",0.04,0.001,10000.0,0,0.25,wap,64800,10080,0.001,1.265006291007816,-4.931125620884459,-2.6456573390393165
rand22,-459.0451501601116,-3.0890881148791602,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 3]","[0.02, 0.06, 0.15, 0.3]",0.01,0.001,10000.0,0,0.15,p0,20160,7200,0.001,-2.6187764843319195,-3.0890881148791602,-1.428513500887021
rand23,-522.294519746566,-6.041489574743519,0,False,0.2,"[1, 2, 4, 8]","[1, 2, 4]","[0.05, 0.12, 0.22, 0.4]",0.01,0.001,10000.0,0,0.0,p0,20160,0,0.001,-6.041489574743519,-3.0494334407694237,-1.0855087940045516
rand24,-444.81568653924455,-2.97122301438687,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 3]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.2,p0,43200,2880,0.001,-2.97122301438687,-1.844983083123087,-1.693545831410011
rand25,-626.9348538619023,-7.782944279006579,0,False,0.15,"[8, 4, 2, 1]","[1, 2, 3]","[0.03, 0.1, 0.25, 0.5]",0.01,0.001,10000.0,0,0.0,wap,0,2880,0.001,-7.782944279006579,-5.062721719997966,-2.369339436563433
rand26,-502.7199470485056,-4.243423046116623,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 3]","[0.02, 0.06, 0.15, 0.3]",0.03,0.001,10000.0,0,0.0,wap,43200,0,0.001,-4.243423046116623,-3.8081985096124242,-1.587264798606155
rand27,-596.0420044154021,-5.709421718196002,0,False,0.1,"[8, 4, 2, 1]","[1, 2, 3]","[0.02, 0.08, 0.2, 0.4]",0.03,0.001,10000.0,0,0.5,p0,10080,2880,0.001,-5.709421718196002,-4.4896892763519824,-3.2063382083549987
rand28,-459.39648524139113,-4.540610969078407,0,False,0.2,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.025,0.001,10000.0,0,0.0,wap,64800,7200,0.001,-4.540610969078407,-2.392260979426265,-0.7473428912357866
rand29,-436.2202327983901,-3.3286054785918764,0,False,0.05,"[1, 2, 4, 8]","[1, 3, 5]","[0.04, 0.12, 0.25, 0.45]",0.05,0.001,10000.0,0,0.15,wap,0,10080,0.001,-3.3286054785918764,-2.090317438403894,-0.7387994630021055
rand30,-492.864323624559,-8.375929374923789,0,False,0.05,"[1, 2, 4, 8]","[1, 2, 3]","[0.03, 0.08, 0.18, 0.35]",0.015,0.001,10000.0,0,0.6,wap,64800,0,0.001,-8.375929374923789,-0.5731466490019115,-0.043206789689866354
rand31,-358.9280106084654,-2.382437873669749,0,False,0.1,"[1, 2, 4, 8]","[2, 3, 4]","[0.04, 0.12, 0.25, 0.45]",0.015,0.001,10000.0,0,0.3,wap,20160,7200,0.001,0.6142347136861792,-2.382437873669749,-0.8674601648833358
rand32,-526.2164613160345,-6.080247935060211,0,False,0.12,"[1, 2, 4, 8]","[2, 3, 4]","[0.05, 0.12, 0.22, 0.4]",0.025,0.001,10000.0,0,0.15,wap,43200,10080,0.001,-6.080247935060211,-2.878820386450014,-1.4344350042179432
rand33,-424.8449165427472,-3.426578795901023,0,False,0.15,"[8, 4, 2, 1]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.015,0.001,10000.0,0,0.5,p0,10080,4320,0.001,0.739307426587484,-3.426578795901023,-3.0730265514362043
rand34,-747.5672176046972,-13.324091556726676,0,False,0.1,"[8, 4, 2, 1]","[2, 3, 4]","[0.03, 0.08, 0.18, 0.35]",0.012,0.001,10000.0,0,0.4,p0,64800,10080,0.001,-13.324091556726676,-4.0407877003656365,-3.124748621183417
rand35,-511.8047485814558,-4.7154583510428525,0,False,0.2,"[1, 2, 4, 8]","[2, 3, 4]","[0.04, 0.12, 0.25, 0.45]",0.01,0.001,10000.0,0,0.2,p0,0,0,0.001,-4.7154583510428525,-2.9069165679831537,-1.9425649914795478
cd_take_profit_pct=0.01,-298.1057800317456,-3.1539448832846904,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.01,0.001,10000.0,0,0.28,wap,0,0,0.001,1.7924059593371104,-3.1539448832846904,1.141493073030584
cd_take_profit_pct=0.012,-245.5939959999203,-2.5826350151951494,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.012,0.001,10000.0,0,0.28,wap,0,0,0.001,3.356109033752815,-2.5826350151951494,1.371871185102671
cd_take_profit_pct=0.015,-237.49068540404974,-3.0725045993039175,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.015,0.001,10000.0,0,0.28,wap,0,0,0.001,3.979865977055086,-3.0725045993039175,1.5937275471517764
cd_take_profit_pct=0.02,-184.36557850957496,-2.9121630685772213,1,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.28,wap,0,0,0.001,6.072372512805406,-2.9121630685772213,0.2497025947977849
cd_take_profit_pct=0.03,-159.1911232399637,-2.5256505127896247,1,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.28,wap,0,0,0.001,6.252656262285735,-2.5256505127896247,1.0104970484129283
cd_take_profit_pct=0.04,-162.86133798271436,-2.475467370350394,1,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.04,0.001,10000.0,0,0.28,wap,0,0,0.001,7.407046108051947,-2.475467370350394,0.6253526618234506
cd_take_profit_pct=0.05,-212.331616602194,-2.3893335835897327,1,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.05,0.001,10000.0,0,0.28,wap,0,0,0.001,9.697213691164556,-2.3893335835897327,-1.7368857855017488
cd_stop_loss_pct=0.0,-496.38794197993036,-4.793402688721034,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.0,wap,0,0,0.001,-4.793402688721034,-4.5408541119295505,-0.17584429849705596
