tag,score,dual_ok,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,param_breakeven_after_bars,param_breakeven_buffer_pct,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits,breakeven_exits
seed_sl35_wap,-60.41510297563492,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.35,wap,0,0,0.001,30918.607345439697,209.18607345439696,152.72041464275054,617,99.02755267423015,2.4769127786308633,66.67424691080724,1.492659573040066,4814.639228270606,4754.695299837926,904.0,156921.0,611,5,0,0
sl_wap=0.28,66.87024314641792,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.28,wap,0,0,0.001,41368.25294629135,313.6825294629135,152.72041464275054,639,98.90453834115806,2.4940805233415375,57.32603222564384,1.6074495952854508,6360.007300258959,4590.996870109546,904.0,156921.0,632,6,0,0
sl_wap=0.3,-17.177703259153642,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.3,wap,0,0,0.001,33803.9493036578,238.039493036578,152.72041464275054,636,98.89937106918238,2.473835115432771,61.2577916450903,1.4705390719888658,5701.226781271926,4612.652515723271,899.5,156921.0,629,6,0,0
sl_wap=0.32,33.276386044955444,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.32,wap,0,0,0.001,39752.79501539287,297.5279501539287,152.72041464275054,617,99.02755267423015,2.5011753637200034,63.999440750277934,1.6809146971274023,5578.328536801541,4754.695299837926,912.0,156921.0,611,5,0,0
sl_wap=0.35,-60.41510297563492,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.35,wap,0,0,0.001,30918.607345439697,209.18607345439696,152.72041464275054,617,99.02755267423015,2.4769127786308633,66.67424691080724,1.492659573040066,4814.639228270606,4754.695299837926,904.0,156921.0,611,5,0,0
sl_wap=0.38,-196.72957726836344,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.38,wap,0,0,0.001,20600.340668194152,106.00340668194153,152.72041464275054,594,98.98989898989899,2.4393058257457674,73.11717946100539,1.2645439791754445,3857.0430000338533,4938.799663299664,917.5,203851.0,588,5,0,0
sl_wap=0.4,-143.8495455575539,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.4,wap,0,0,0.001,25399.582069792552,153.9958206979255,152.72041464275054,559,99.10554561717353,2.476007313940941,63.93569765111151,1.3894606636825713,4156.277185933998,5248.026833631485,919.0,221085.0,554,4,0,0
sl_wap=0.45,-137.19948654573363,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.45,wap,0,0,0.001,30806.40371346539,208.06403713465392,152.72041464275054,493,99.39148073022312,2.530844591675947,68.11558135799567,1.6581303054889052,3942.8412931037515,5950.602434077079,965.0,285567.0,490,2,0,0
sl_p0=0.3,-29.480633151393832,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.3,p0,0,0,0.001,25814.44173862455,158.1444173862455,152.72041464275054,784,97.44897959183673,2.24395140108833,37.431815120477005,1.295174043678535,5552.143801564888,3741.8966836734694,864.5,146998.0,764,19,0,0
sl_p0=0.35,40.51100172385852,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.35,p0,0,0,0.001,33702.0443828879,237.020443828879,152.72041464275054,716,98.18435754189943,2.4277358320100313,36.68947005775394,1.3353560404838793,7555.7845801297335,4097.272346368715,926.0,146998.0,703,12,0,0
