stage,param,value,score,param_normal_initial_pct,param_normal_dca_pct,param_normal_dca_drop,param_normal_sl_pct,param_normal_tp_pct,param_recovery_initial_pct,param_recovery_dca1_pct,param_recovery_dca1_drop,param_recovery_dca2_pct,param_recovery_dca2_drop,param_recovery_sl_pct,param_recovery_tp_pct,param_sl_ref,param_fee_rate,param_capital,param_min_equity_frac_of_peak,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,normal_cycles,recovery_cycles,normal_wins,recovery_wins,tp_exits,sl_exits
baseline,,,-209.66320965503695,0.25,0.25,0.03,0.03,0.01,0.5,0.25,0.03,0.25,0.05,0.1,0.01,p0,0.001,10000.0,0.0,1033.6790344963063,-89.66320965503694,-72.02787586383712,1972,78.24543610547667,0.14016204171059135,90.50075066096622,0.5927841439969342,4791.101787783795,310.3453346855984,87.0,22247.0,1544,428,1150,393,1543,428
search:normal_sl_pct,normal_sl_pct,0.02,-207.4747176956986,0.25,0.25,0.03,0.02,0.01,0.5,0.25,0.03,0.25,0.05,0.1,0.01,p0,0.001,10000.0,0.0,1252.5282304301422,-87.47471769569857,-72.02787586383712,2394,72.93233082706767,-0.11715711871322838,88.14612228569945,0.6545406781144683,5499.350202962546,255.63951545530492,70.0,9084.0,1747,647,1144,602,1746,647
search:normal_sl_pct,normal_sl_pct,0.03,-209.66320965503695,0.25,0.25,0.03,0.03,0.01,0.5,0.25,0.03,0.25,0.05,0.1,0.01,p0,0.001,10000.0,0.0,1033.6790344963063,-89.66320965503694,-72.02787586383712,1972,78.24543610547667,0.14016204171059135,90.50075066096622,0.5927841439969342,4791.101787783795,310.3453346855984,87.0,22247.0,1544,428,1150,393,1543,428
search:normal_sl_pct,normal_sl_pct,0.04,-206.44943872139345,0.25,0.25,0.03,0.04,0.01,0.5,0.25,0.03,0.25,0.05,0.1,0.01,p0,0.001,10000.0,0.0,1355.056127860656,-86.44943872139343,-72.02787586383712,1900,83.36842105263158,0.14196530807295432,87.3044617190039,0.6378086216207672,5099.374499898295,322.1057894736842,88.0,12628.0,1585,315,1294,290,1584,315
search:normal_sl_pct,normal_sl_pct,0.05,-203.1066205524819,0.25,0.25,0.03,0.05,0.01,0.5,0.25,0.03,0.25,0.05,0.1,0.01,p0,0.001,10000.0,0.0,1689.3379447518084,-83.10662055248191,-72.02787586383712,1720,86.86046511627907,0.1504355693836223,84.2794567863669,0.6653568391516871,5232.664199450191,355.8145348837209,87.0,22247.0,1495,225,1290,204,1494,225
search:normal_sl_pct,normal_sl_pct,0.06,-203.5682156107562,0.25,0.25,0.03,0.06,0.01,0.5,0.25,0.03,0.25,0.05,0.1,0.01,p0,0.001,10000.0,0.0,1643.1784389243794,-83.5682156107562,-72.02787586383712,1563,88.67562380038387,0.13266429861812648,84.55558819755062,0.634236657637621,4460.31823090194,391.555342290467,91.0,11738.0,1387,176,1228,158,1386,176
search:normal_sl_pct,normal_sl_pct,0.08,-113.15346695541038,0.25,0.25,0.03,0.08,0.01,0.5,0.25,0.03,0.25,0.05,0.1,0.01,p0,0.001,10000.0,0.0,2991.2268971242465,-70.08773102875753,-72.02787586383712,1277,91.30775254502741,0.13574843644498122,73.35149795615091,0.6886866962605598,4527.774481414952,479.2490211433046,82.0,11738.0,1167,110,1064,102,1166,110
search:recovery_sl_pct,recovery_sl_pct,0.06,-114.97582951277914,0.25,0.25,0.03,0.08,0.01,0.5,0.25,0.03,0.25,0.05,0.06,0.01,p0,0.001,10000.0,0.0,2846.578704345843,-71.53421295654157,-72.02787586383712,1333,90.77269317329333,0.13517524491244798,74.64015234228263,0.6840124032317426,4614.207483606349,459.11552888222053,78.0,11738.0,1211,122,1104,106,1210,122
search:recovery_sl_pct,recovery_sl_pct,0.08,-115.45868800870491,0.25,0.25,0.03,0.08,0.01,0.5,0.25,0.03,0.25,0.05,0.08,0.01,p0,0.001,10000.0,0.0,2824.928143153458,-71.75071856846542,-72.02787586383712,1297,91.05628373168851,0.13053050187818746,74.8330347427252,0.6797465679118254,4485.856589620294,471.85890516576717,81.0,11738.0,1182,115,1077,104,1181,115
search:recovery_sl_pct,recovery_sl_pct,0.1,-113.15346695541038,0.25,0.25,0.03,0.08,0.01,0.5,0.25,0.03,0.25,0.05,0.1,0.01,p0,0.001,10000.0,0.0,2991.2268971242465,-70.08773102875753,-72.02787586383712,1277,91.30775254502741,0.13574843644498122,73.35149795615091,0.6886866962605598,4527.774481414952,479.2490211433046,82.0,11738.0,1167,110,1064,102,1166,110
