stage,score_crash,score_full,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits,window,sl,ref,max_hold
baseline:crash_2022,-128.43207289280224,-103.47121616355449,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,0,3003.290341605507,-69.96709658394494,-72.26310681185907,36,97.22222222222221,-1.0550842064073533,79.51630990999557,0.1340721212874981,232.44281876506727,283.3611111111111,4.5,9466.0,35,0,0,crash_2022,,,
baseline:crash_2025_26,-87.70347205653641,-69.37820370006226,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,0,5722.0525418525485,-42.77947458147452,-48.024150476882454,96,98.95833333333334,0.3969023620745987,65.5609284340602,0.4285738323348498,665.6468389550255,151.76041666666666,4.5,7116.0,95,0,0,crash_2025_26,,,
baseline:full,1970.495519462255,2004.365705705792,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,0,214228.18700786252,2042.2818700786252,153.7360197256392,1338,99.9252615844544,0.9536732991823332,79.51630990999557,1.6928438809323902,101302.17835919603,36.54559043348281,1.0,32400.0,1337,0,0,full,,,
sl_sweep:crash_2022,-128.43207289280224,-103.47121616355449,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,0,3003.290341605507,-69.96709658394494,-72.26310681185907,36,97.22222222222221,-1.0550842064073533,79.51630990999557,0.1340721212874981,232.44281876506727,283.3611111111111,4.5,9466.0,35,0,0,crash_2022,0.0,wap,0.0
sl_sweep:crash_2025_26,-87.70347205653641,-69.37820370006226,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,0,5722.0525418525485,-42.77947458147452,-48.024150476882454,96,98.95833333333334,0.3969023620745987,65.5609284340602,0.4285738323348498,665.6468389550255,151.76041666666666,4.5,7116.0,95,0,0,crash_2025_26,0.0,wap,0.0
sl_sweep:full,1970.495519462255,2004.365705705792,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,0,214228.18700786252,2042.2818700786252,153.7360197256392,1338,99.9252615844544,0.9536732991823332,79.51630990999557,1.6928438809323902,101302.17835919603,36.54559043348281,1.0,32400.0,1337,0,0,full,0.0,wap,0.0
sl_sweep:crash_2022,229.39224679334714,228.33630144830877,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.03,wap,0,33339.55771500282,233.3955771500282,-72.26310681185907,2251,91.91470457574411,0.6597915404893728,14.24330875746715,1.3390415777125977,22852.63561946027,4.531763660595291,2.0,96.0,2069,181,0,crash_2022,0.03,wap,0.0
sl_sweep:crash_2025_26,76.26639691112437,77.03496920405027,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.03,wap,0,18428.366014472456,84.28366014472456,-48.024150476882454,2246,90.78361531611753,0.6126323767569387,20.442927175619438,1.1506931904684867,16425.697909143633,6.486642920747997,3.0,96.0,2039,206,0,crash_2025_26,0.03,wap,0.0
sl_sweep:full,11729.824834378152,11731.98573218032,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.03,wap,0,1184159.0984491438,11741.590984491439,153.7360197256392,9038,91.8123478645718,0.6546131884182116,27.047284667248217,1.166687269622526,2091193.5625195517,5.410267758353618,2.0,282.0,8298,739,0,full,0.03,wap,0.0
sl_sweep:crash_2022,210.2655861372823,210.4820478430482,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.04,wap,0,31781.07115513506,217.8107115513506,-72.26310681185907,2036,94.05697445972496,0.6908706954035262,20.704173042525486,1.3497920153858802,19881.558150260367,5.010314341846758,2.0,107.0,1915,120,0,crash_2022,0.04,wap,0.0
