phase,sl,ref,tp,hold_h,score,seconds,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits
sl_full,0.0,p0,0.012,0.0,39.61810667062852,5.590309143066406,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,p0,0,17179.653688188588,71.79653688188587,152.72041464275054,481,99.7920997920998,0.8752285777670719,79.9378206771385,1.3037284037008645,6269.7682243098,6099.058212058212,78.0,1944007.0,480,0,0
sl_full,0.08,p0,0.012,0.0,-296.91616982517314,8.466723680496216,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.08,p0,0,308.3830174826886,-96.91616982517311,152.72041464275054,7015,93.74198146828225,0.5997350477337796,97.8560624864413,0.8958264373766079,20175.569728156217,418.19629365645045,75.0,18300.0,6576,438,0
sl_full,0.1,p0,0.012,0.0,-121.53832954326698,8.154301881790161,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.1,p0,0,1480.696176152394,-85.19303823847606,152.72041464275054,6004,95.50299800133244,0.6196392174873933,90.82251031005637,0.9253358205466763,24244.370400319993,488.61542305129916,76.0,25983.0,5734,269,0
sl_full,0.12,p0,0.012,0.0,-124.64495183454244,8.17154860496521,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.12,p0,0,1226.7168190379755,-87.73283180962025,152.72041464275054,5304,96.36123680241327,0.6190448674343404,92.23420832336629,0.9053308431874552,18782.615584759766,553.1008672699849,72.5,48938.0,5111,192,0
sl_full,0.15,p0,0.012,0.0,-86.30737962653934,7.883807897567749,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.15,p0,0,4716.475617690201,-52.83524382309799,152.72041464275054,4313,97.40319962902852,0.6644115641164119,83.62365724954165,0.9617236274057656,28943.825923542143,680.1871087410155,75.0,57342.0,4201,111,0
sl_full,0.18,p0,0.012,0.0,-98.23021200183256,7.702721834182739,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.18,p0,0,3613.557144428438,-63.86442855571563,152.72041464275054,3929,97.88750318147112,0.6629869015101246,85.85223652739892,0.9442530562973553,23223.39856969343,746.6650547213031,74.0,76029.0,3846,82,0
sl_full,0.2,p0,0.012,0.0,-97.69854887448922,7.554213285446167,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.2,p0,0,3564.219940597629,-64.35780059402371,152.72041464275054,3671,98.1476436938164,0.6844850641981305,83.28527560899997,0.9368313331460519,20407.382696533925,799.141105965677,72.0,82586.0,3603,67,0
sl_full,0.25,p0,0.012,0.0,-84.6533825192095,7.587089538574219,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.25,p0,0,4965.889651889281,-50.34110348110718,152.72041464275054,3133,98.6275135652729,0.6970685776155516,85.70266676750815,0.9515715316052779,20815.694888000748,936.3699329715927,74.0,174845.0,3090,42,0
sl_full,0.3,p0,0.012,0.0,-17.543278854937725,7.2765953540802,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.3,p0,0,11208.183830874994,12.081838308749937,152.72041464275054,2373,98.98862199747155,0.7329288156765286,73.95977117161556,1.0100181434835935,25369.211439116032,1236.260851243152,85.0,295410.0,2349,23,0
sl_full,0.4,p0,0.012,0.0,2.272590798477466,6.98958420753479,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.4,p0,0,13178.912046472073,31.78912046472073,152.72041464275054,1821,99.34102141680395,0.7656322884745891,73.65707343340974,1.0314456567750512,21498.51834637064,1611.0087863811093,97.0,295410.0,1809,11,0
sl_full,0.0,wap,0.012,0.0,39.61810667062852,5.378091335296631,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.0,wap,0,17179.653688188588,71.79653688188587,152.72041464275054,481,99.7920997920998,0.8752285777670719,79.9378206771385,1.3037284037008645,6269.7682243098,6099.058212058212,78.0,1944007.0,480,0,0
sl_full,0.08,wap,0.012,0.0,-292.6339425927433,8.334740161895752,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.08,wap,0,736.6057407256649,-92.63394259274335,152.72041464275054,5824,95.7760989010989,0.6106027199074558,95.76381515631138,0.9123259791653245,21907.495592458774,503.7168612637363,76.0,35453.0,5578,245,0
sl_full,0.1,wap,0.012,0.0,-127.19891815472195,8.057841539382935,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.1,wap,0,1057.9502547878503,-89.4204974521215,152.72041464275054,5068,96.58642462509866,0.6173704145897836,94.39781367770611,0.906228651191589,19198.523162232777,578.8569455406472,75.0,49795.0,4895,172,0
sl_full,0.12,wap,0.012,0.0,-67.76623204518903,7.8373353481292725,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.12,wap,0,6500.534890929601,-34.99465109070399,152.72041464275054,4254,97.50822755054067,0.6713738186979366,81.87148398392452,0.9795259536094971,36390.19139632745,689.6208274565115,75.0,57342.0,4148,105,0
sl_full,0.15,wap,0.012,0.0,-105.28816380946925,7.649374723434448,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.15,wap,0,3020.5888192640737,-69.79411180735926,152.72041464275054,3884,97.88877445932029,0.6592500655357935,88.6721870126557,0.9372241304474399,22361.299932468777,755.3159114315139,73.5,76050.0,3802,81,0
sl_full,0.18,wap,0.012,0.0,-98.16511342960372,7.704495906829834,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.18,wap,0,3590.5695958324122,-64.09430404167587,152.72041464275054,3471,98.35782195332757,0.6871227012218445,85.10659114964297,0.9343773083838953,19377.10336104559,845.1878421204264,72.0,82612.0,3414,56,0
