phase,sl,ref,tp,hold_h,crash_combo,r22_ret,r25_ret,r22_avgH,r25_avgH,r22_maxH,r25_maxH,r22_dd,r25_dd,full_score,full_param_initial_pct,full_param_dca_level_weights,full_param_sub_order_weights,full_param_dca_depths,full_param_take_profit_pct,full_param_fee_rate,full_param_capital,full_param_reentry_delay_bars,full_param_stop_loss_pct,full_param_stop_loss_ref,full_param_max_hold_bars,full_equity_final,full_total_return_pct,full_buy_hold_return_pct,full_num_cycles,full_win_rate,full_avg_pnl_pct,full_max_drawdown_pct,full_profit_factor,full_total_fees,full_avg_hold_bars,full_median_hold_bars,full_max_hold_bars_seen,full_tp_exits,full_sl_exits,full_time_exits
crash_sl,0.0,p0,0.012,0,-880.788728022121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.1,p0,0.012,0,-125.66987613399023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.15,p0,0.012,0,-137.15297058363814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.2,p0,0.012,0,-161.15241271234305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.25,p0,0.012,0,-162.80534084692658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.3,p0,0.012,0,-201.05965250285954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.35,p0,0.012,0,-216.5390755727554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.4,p0,0.012,0,-226.34956180081866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.45,p0,0.012,0,-313.57366402035154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.5,p0,0.012,0,-322.92848070056914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.6,p0,0.012,0,-395.2068549469806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.0,wap,0.012,0,-880.788728022121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.1,wap,0.012,0,-129.83263587778313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.15,wap,0.012,0,-157.42157708464887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.2,wap,0.012,0,-152.49190617597984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.25,wap,0.012,0,-203.1543452044335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.3,wap,0.012,0,-211.77899977063157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_sl,0.35,wap,0.012,0,-232.66072181041065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
